Category,insect,animal,can fly,lives underwater,plant,food / drinks,musical instrument,transportation vehicle,used in sports,weapon
duck,,x,,,,,,,,
dumb bell,,,,,,,,,x,
eiffel tower,,,,,,,,,,
electric guitar,,,,,,,x,,,
elephant,,x,,,,,,,,
elk,,x,,,,,,,,
ewer,,,,,,,,,,
eyeglasses,,,,,,,,,,
faces easy,,,,,,,,,,
fern,,,,,x,,,,,
fighter jet,,,,,,,,x,,
fire extinguisher,,,,,,,,,,
fire hydrant,,,,,,,,,,
fire truck,,,,,,,,x,,
fireworks,,,,,,,,,,
flashlight,,,,,,,,,,
floppy disk,,,,,,,,,,
football helmet,,,,,,,,,x,
french horn,,,,,,,x,,,
fried egg,,,,,,x,,,,
frisbee,,,,,,,,,x,
frog,,x,,,,,,,,
frying pan,,,,,,,,,,
galaxy,,,,,,,,,,
gas pump,,,,,,,,,,
giraffe,,x,,,,,,,,
goat,,x,,,,,,,,
golden gate bridge,,,,,,,,,,
goldfish,,x,,x,,,,,,
golf ball,,,,,,,,,x,
goose,,x,x,,,,,,,
gorilla,,x,,,,,,,,
grand piano,,,,,,,x,,,
grapes,,,,,,x,,,,
grasshopper,,,,,,,,,,
greyhound,,x,,,,,,,,
guitar pick,,,,,,,x,,,
hamburger,,,,,,x,,,,
hammock,,,,,,,,,,
harmonica,,,,,,,x,,,
harp,,,,,,,x,,,
harpsichord,,,,,,,x,,,
hawksbill,,x,,x,,,,,,
head phones,,,,,,,,,,
helicopter,,,,,,,,x,,
hibiscus,,,,,x,,,,,
homer simpson,,,,,,,,,,
horse,,x,,,,,,,,
horseshoe crab,,x,,x,,,,,,
hot air balloon,,,,,,,,x,,
hot dog,,,,,,x,,,,
hot tub,,,,,,,,,,
hourglass,,,,,,,,,x,
house fly,x,,x,,,,,,,
human skeleton,,,,,,,,,,
hummingbird,,x,x,,,,,,,
ibis,,x,x,,,,,,,
ice cream cone,,,,,,x,,,,
iguana,,x,,,,,,,,
ipod,,,,,,,,,,
iris,,,,,x,,,,,
jesus christ,,,,,,,,,,
joy stick,,,,,,,,,,
kangaroo,,x,,,,,,,,
kayak,,,,,,,,x,,
ketch,,,,,,,,x,,
killer whale,,x,,x,,,,,,
knife,,,,,,,,,,x
ladder,,,,,,,,,,
laptop,,,,,,,,,,
lathe,,,,,,,,,,
leopards,,x,,,,,,,,
license plate,,,,,,,,,,
light house,,,,,,,,,,
lightbulb,,,,,,,,,,
lightning,,,,,,,,,,
llama,,x,,,,,,,,
mailbox,,,,,,,,,,
mandolin,,,,,,,x,,,
mars,,,,,,,,,,
mattress,,,,,,,,,,
megaphone,,,,,,,,,,
menorah,,,,,,,,,,
microscope,,,,,,,,,,
microwave,,,,,,,,,,
minaret,,,,,,,,,,
minotaur,,,,,,,,,,
motorbikes,,,,,,,,x,x,
mountain bike,,,,,,,,x,x,
mushroom,,,,,,,,,,
mussels,,x,,x,,,,,,
necktie,,,,,,,,,,
octopus,,x,,x,,,,,,
ostrich,,x,,,,,,,,
owl,,x,x,,,,,,,
palm pilot,,,,,,,,,,
palm tree,,,,,x,,,,,
paper shredder,,,,,,,,,,
paperclip,,,,,,,,,,
pci card,,,,,,,,,,
penguin,,x,,,,,,,,
people,,,,,,,,,,
pez dispenser,,,,,,,,,,
photocopier,,,,,,,,,,
picnic table,,,,,,,,,,
playing card,,,,,,,,,,
porcupine,,x,,,,,,,,
pram,,,,,,,,,,
praying mantis,x,,,,,,,,,
pyramid,,,,,,,,,,
raccoon,,x,,,,,,,,
radio telescope,,,,,,,,,,
rainbow,,,,,,,,,,
refrigerator,,,,,,,,,,
revolver,,,,,,,,,,x
rifle,,,,,,,,,,x
rotary phone,,,,,,,,,,
roulette wheel,,,,,,,,,,
saddle,,,,,,,,,x,
saturn,,,,,,,,,,
school bus,,,,,,,,x,,
scorpion,x,,,,,,,,,
screwdriver,,,,,,,,,,
segway,,,,,,,,x,,
self propelled lawn mower,,,,,,,,,,
sextant,,,,,,,,,,
sheet music,,,,,,,x,,,
skateboard,,,,,,,,,x,
skunk,,x,,,,,,,,
skyscraper,,,,,,,,,,
smokestack,,,,,,,,,,
snail,,x,,,,,,,,
snake,,x,,,,,,,,
sneaker,,,,,,,,,x,
snowmobile,,,,,,,,x,,
soccer ball,,,,,,,,,x,
socks,,,,,,,,,,
soda can,,,,,,x,,,,
something,,,,,,,,,,
spaghetti,,,,,,x,,,,
speed boat,,,,,,,,x,x,
spider,x,,,,,,,,,
spoon,,,,,,,,,,
stained glass,,,,,,,,,,
starfish,,x,,x,,,,,,
steering wheel,,,,,,,,,,
stirrups,,,,,,,,,x,
sunflower,,,,,x,,,,,
superman,,,,,,,,,,
sushi,,,,,,x,,,,
swan,,x,x,,,,,,,
swiss army knife,,,,,,,,,,
sword,,,,,,,,,,x
syringe,,,,,,,,,,
t shirt,,,,,,,,,,
tambourine,,,,,,,x,,,
teapot,,,,,,,,,,
teddy bear,,,,,,,,,,
teepee,,,,,,,,,,
telephone box,,,,,,,,,,
tennis ball,,,,,,,,,x,
tennis court,,,,,,,,,x,
tennis racket,,,,,,,,,x,
tennis shoes,,,,,,,,,x,
theodolite,,,,,,,,,,
toad,,x,,,,,,,,
toaster,,,,,,,,,,
tomato,,,,,,x,,,,
tombstone,,,,,,,,,,
top hat,,,,,,,,,,
touring bike,,,,,,,,,x,
tower pisa,,,,,,,,,,
traffic light,,,,,,,,,,
treadmill,,,,,,,,,x,
triceratops,,x,,,,,,,,
tricycle,,,,,,,,,x,
trilobite,x,,,,,,,,,
tripod,,,,,,,,,,
tuning fork,,,,,,,,,,
tweezer,,,,,,,,,,
umbrella,,,,,,,,,,
unicorn,,x,,,,,,,,
vcr,,,,,,,,,,
video projector,,,,,,,,,,
washing machine,,,,,,,,,,
watch,,,,,,,,,,
waterfall,,,,,,,,,,
watermelon,,,,,,x,,,,
welding mask,,,,,,,,,,
wheelbarrow,,,,,,,,,,
windmill,,,,,,,,,,
wine bottle,,,,,,x,,,,
xylophone,,,,,,,x,,,
yarmulke,,,,,,,,,,
yo yo,,,,,,,,,,
zebra,,x,,,,,,,,
